X座標,Y座標,施設名（施,EOF
34.66421342,135.5010818,ビジターズインフォメーションセンター・難波（びじたーずいんふぉめーしょんせんたー・なんば）,EOF
34.66462494,135.5030578,府立上方演芸資料館（ワッハ上方）（ふりつかみがたえんげいしりょうかん（わっはかみがた））,EOF
34.66795308,135.5021921,上方浮世絵館（かみがたうきよえかん）,EOF
34.66768489,135.5003171,御堂筋（みどうすじ）,EOF
34.66839342,135.5008891,大阪松竹座（おおさかしょうちくざ）,EOF
34.66577128,135.5018316,もと精華小学校（もとせいかしょうがっこう）,EOF
34.67052972,135.5006317,三津寺（みつでら）,EOF
34.66885703,135.5011788,道頓堀グリコネオン（どうとんぼりぐりこねおん）,EOF
34.66736092,135.5084558,国立文楽劇場（こくりつぶんらくげきじょう）,EOF
34.66786517,135.5026172,法善寺水かけ不動尊（ほうぜんじみずかけふどうそん）,EOF
34.66853158,135.5140553,高津宮（高津神社）（こうづぐう（こうづじんじゃ））,EOF
34.671475,135.5078919,大阪市立島之内図書館（おおさかしりつしまのうちとしょかん）,EOF
34.66894903,135.5040543,道頓堀（どうとんぼり）,EOF
34.66148917,135.5220693,大阪市立天王寺図書館（おおさかしりつてんのうじとしょかん）,EOF
34.66849797,135.5187498,もと東平小学校（もととうへいしょうがっこう）,EOF
34.66674433,135.5341191,東小橋の街並み（ひがしおばせのまちなみ）,EOF
34.66818469,135.5412311,大阪市立東成図書館（おおさかしりつひがしなりとしょかん）,EOF
34.66688508,135.5365008,玉津の昭和初期の街並み（たまづのしょうわしょきのまちなみ）,EOF
34.67313581,135.5009497,大丸心斎橋店（だいまるしんさいばしてん）,EOF
34.67847225,135.4974281,長瀬産業大阪本社ビル本館（ながせさんぎょうおおさかほんしゃびるほんかん）,EOF
34.67696669,135.5037053,原田産業（大阪本社ビル）（はらださんぎょう（おおさかほんしゃびる））,EOF
34.68318453,135.4967476,アジア・太平洋人権情報センター(ヒューライツ大阪)（あじあたいへいようじんけんじょうほうせんたー（ひゅーらいつおおさか））,EOF
34.68055361,135.4993813,真宗大谷派　難波別院（南御堂）（しんしゅうおおたには　なんばべついん（みなみみどう））,EOF
34.68549733,135.4941032,靱公園（うつぼこうえん）,EOF
34.68643286,135.4961891,大阪科学技術館（おおさかかがくぎじゅつかん）,EOF
34.68506264,135.4998057,浄土真宗本願寺派　本願寺津村別院（北御堂）（じょうどしんしゅうほんがんじは　ほんがんじつむらべついん（きたみどう））,EOF
34.68549328,135.503896,綿業会館（めんぎょうかいかん）,EOF
34.68700792,135.5041729,船場ビルディング（せんばびるでぃんぐ）,EOF
34.67397803,135.5350489,矢田地蔵尊（やたじぞうそん）,EOF
34.67424508,135.5388689,北中道の古い街並み（きたなかみちのふるいまちなみ）,EOF
34.67766258,135.5300733,玉造稲荷神社（たまつくりいなりじんじゃ）,EOF
34.68255811,135.5207171,大阪歴史博物館（おおさかれきしはくぶつかん）,EOF
34.68384194,135.5182472,府立現代美術センター（ふりつげんだいびじゅつせんたー）,EOF
34.68635419,135.520036,大阪府庁本館（おおさかふちょうほんかん）,EOF
34.68568053,135.52912,大阪城公園（おおさかじょうこうえん）,EOF
34.68587481,135.5265429,もと大阪市立博物館（もとおおさかしりつはくぶつかん）,EOF
34.68176694,135.5295862,ピースおおさか：大阪国際平和センター（ぴーすおおさか：おおさかこくさいへいわせんたー）,EOF
34.68510067,135.5410189,白山神社（しらやまじんじゃ）,EOF
34.66783264,135.5486873,旧三井釦被服（きゅうみついぼたんひふく）,EOF
34.66775175,135.5491434,火袋式道標（ひぶくろしきどうひょう）,EOF
34.66903103,135.548083,真言宗御室派密華山妙法寺（しんごんしゅうおむろはみっけざんみょうほうじ）,EOF
34.66991614,135.5609237,深江郷土資料館（ふかえきょうどしりょうかん）,EOF
34.66995456,135.5605154,深江の建築物、史跡群（ふかえのけんちくぶつ、しせきぐん）,EOF
34.6731975,135.5453995,八王子神社御旅所の楠（はちおうじじんじゃおたびしょのくすのき）,EOF
34.68566206,135.5605693,諏訪2丁目の大いちょう（すわにちょうめのおおいちょう）,EOF
34.68961239,135.4954002,江戸堀コダマビル（えどぼりこだまびる）,EOF
34.68834931,135.4900116,菅澤眼科クリニック（すがさわがんかくりにっく）,EOF
34.68751683,135.5022467,湯木美術館（ゆきびじゅつかん）,EOF
34.68792569,135.5002005,大阪ガスビルディング（おおさかがすびるでぃんぐ）,EOF
34.68904658,135.5018781,芝川ビル（しばかわびる）,EOF
34.691764,135.4921581,国立国際美術館（こくりつこくさいびじゅつかん）,EOF
34.69127208,135.4915059,科学館（かがくかん）,EOF
34.69197489,135.4960139,日本ライトハウス情報文化センター（にっぽんらいとはうすじょうほうぶんかせんたー）,EOF
34.69324381,135.5022561,みおつくしプロムナード（みおつくしぷろむなーど）,EOF
34.69295983,135.5009356,淀屋橋（よどやばし）,EOF
34.69098403,135.4989278,大阪倶楽部（おおさかくらぶ）,EOF
34.68822225,135.5088695,道修町の界隈・古い家屋（どしょうまちのかいわい・ふるいかおく）,EOF
34.689475,135.503869,日本基督教団浪花教会（にほんきりすときょうだんなにわきょうかい）,EOF
34.68899342,135.5060748,伏見町付近の街並み（青山ビル・伏見ビル）（ふしみちょうふきんのまちなみ（あおやまびる・ふしみびる））,EOF
34.68868983,135.5067991,旧小西家住宅（きゅうこにしけじゅうたく）,EOF
34.68751464,135.5063578,生駒時計店（生駒ビルヂング）（いこまとけいてん（いこまびるぢんぐ））,EOF
34.69073583,135.5063686,新井ビル（あらいびる）,EOF
34.68934353,135.5095419,高麗橋（こうらいばし）,EOF
34.69038869,135.5110113,ルポンドシエルビル（大林組旧本店ビル）（るぽんどしえるびる（おおばやしぐみきゅうほんてんびる））,EOF
34.69368883,135.5031528,府立中之島図書館（ふりつなかのしまとしょかん）,EOF
34.69120783,135.5032438,適塾（てきじゅく）,EOF
34.693475,135.5053223,東洋陶磁美術館（とうようとうじびじゅつかん）,EOF
34.69110922,135.5028086,愛珠幼稚園（あいしゅようちえん）,EOF
34.69129683,135.5072586,大阪証券取引所ビル（おおさかしょうけんとりひきじょびる）,EOF
34.69172006,135.5074782,北浜レトロビルヂング（きたはまれとろびるぢんぐ）,EOF
34.69124697,135.503233,適塾（てきじゅく）,EOF
34.692664,135.5070821,難波橋（なにわばし）,EOF
34.69353297,135.5040085,大阪市中央公会堂（おおさかしちゅうおうこうかいどう）,EOF
34.69340483,135.5033927,大阪府立中之島図書館（おおさかふりつなかのしまとしょかん）,EOF
34.69340483,135.5099178,菅原町の土蔵（すがわらちょうのどぞう）,EOF
34.69142056,135.5117214,天神橋（てんじんばし）,EOF
34.6980675,135.489538,TKPゲートタワービル（）,EOF
34.69934372,135.5008231,お初天神（露天神社）（おはつてんじん（つゆのてんじんじゃ））,EOF
34.69597292,135.5127213,大阪天満宮（おおさかてんまんぐう）,EOF
34.69655122,135.5113933,天神橋筋商店街（2丁目）の看板（てんじんばしすじしょうてんがい（にちょうめ）のかんばん）,EOF
34.69651761,135.5125878,天満天神繁昌亭（てんまてんじんはんじょうてい）,EOF
34.6905885,135.5161074,八軒家浜船着場跡の近くにある石畳の階段（はちけんやはまふなつきばあとのちかくにあるいしだだみのかいだん）,EOF
34.68744706,135.5258221,大阪城天守閣（おおさかじょうてんしゅかく）,EOF
34.68728417,135.5258463,大阪城天守閣（おおさかじょうてんしゅかく）,EOF
34.69234861,135.5209577,川崎橋（かわさきばし）,EOF
34.69212408,135.5285426,クリスタルタワー（くりすたるたわー）,EOF
34.69590017,135.5216813,造幣博物館（ぞうへいはくぶつかん）,EOF
34.69665794,135.5210176,造幣局桜の通り抜け（ぞうへいきょくさくらのとおりぬけ）,EOF
34.69504711,135.5250392,藤田美術館（ふじたびじゅつかん）,EOF
34.69536247,135.5248296,藤田邸跡（太閤園、藤田邸跡公園、藤田美術館）（ふじたていあと（たいこうえん、ふじたていあとこうえん、ふじたびじゅつかん））,EOF
34.69757192,135.5228408,桜宮橋（さくらのみやばし）,EOF
34.69847297,135.5215169,泉布観（せんぷかん）,EOF
34.70088617,135.5277813,大阪市立都島図書館（おおさかしりつみやこじまとしょかん）,EOF
34.69633483,135.5369892,アカツキホール（あかつきほーる）,EOF
34.70530178,135.4905364,梅田スカイビルと新梅田シティ「花野」「中自然の森」（うめだすかいびるとしんうめだしてぃ「はなの」「なかしぜんのもり」）,EOF
34.70256411,135.4977192,ビジターズインフォメーションセンター梅田（びじたーずいんふぉめーしょんせんたー・うめだ）,EOF
34.70800242,135.5000126,ちゃやまちプロムナード（ちゃやまちぷろむなーど）,EOF
34.70438122,135.5087125,扇町公園（おおぎまちこうえん）,EOF
34.70484206,135.5102224,キッズプラザ大阪（きっずぷらざおおさか）,EOF
34.70472094,135.5104521,扇町キッズパーク（関西テレビ放送）（おおぎまちきっずぱーく（かんさいてれびほうそう））,EOF
34.70981683,135.5032088,道引地蔵尊（みちびきじぞうそん）,EOF
34.71023589,135.5116669,住まいのミュージアム「大阪くらしの今昔館」（すまいのみゅーじあむ「おおさかくらしのこんじゃくかん」）,EOF
34.71568586,135.508567,大阪市立北図書館（おおさかしりつきたとしょかん）,EOF
34.70746406,135.5269249,鵺塚（ぬえづか）,EOF
34.70901928,135.5231419,都島神社（みやこじまじんじゃ）,EOF
34.70859542,135.5388643,野江水神社（のえすいじんじゃ）,EOF
34.70856808,135.5391102,野江水流地蔵尊（のえすいりゅうじぞうそん）,EOF
34.71112978,135.5210621,飛翔橋（ひしょうばし）,EOF
34.71179769,135.5232416,櫻宮御旅所　渡辺綱・駒つなぎの樟（くす）（さくらのみやおたびしょ　わたなべつな・こまつなぎのくす）,EOF
34.68803464,135.5438849,中浜下水処理場の桜（なかはまげすいしょりじょうのさくら）,EOF
34.68878106,135.565396,阿遅速雄神社（あちはやおじんじゃ）,EOF
34.69264111,135.563998,中高野街道の剣街道（なかこうやかいどうのつるぎかいどう）,EOF
34.69749217,135.5444401,野崎街道の家並み（のざきかいどうのいえなみ）,EOF
34.69774328,135.5508264,皇大神宮（こうたいじんぐう）,EOF
34.69224964,135.5792669,比枝神社（ひえじんじゃ）,EOF
34.70310656,135.5445236,大阪市立城東図書館（おおさかしりつじょうとうとしょかん）,EOF
